[2022-08-23 13:10:22] - 訊息 
轉檔日期：2022-08-23, 車次：133
轉檔日期：2022-08-24, 車次：133
轉檔日期：2022-08-25, 車次：137
轉檔日期：2022-08-26, 車次：166
轉檔日期：2022-08-27, 車次：147
轉檔日期：2022-08-28, 車次：166
轉檔日期：2022-08-29, 車次：134
轉檔日期：2022-08-30, 車次：133
轉檔日期：2022-08-31, 車次：133
轉檔日期：2022-09-01, 車次：137
轉檔日期：2022-09-02, 車次：166
轉檔日期：2022-09-03, 車次：147
轉檔日期：2022-09-04, 車次：166
轉檔日期：2022-09-05, 車次：134
轉檔日期：2022-09-06, 車次：133
轉檔日期：2022-09-07, 車次：133
轉檔日期：2022-09-08, 車次：186
轉檔日期：2022-09-09, 車次：169
轉檔日期：2022-09-10, 車次：143
轉檔日期：2022-09-11, 車次：188
轉檔日期：2022-09-12, 車次：140
轉檔日期：2022-09-13, 車次：133
轉檔日期：2022-09-14, 車次：133
轉檔日期：2022-09-15, 車次：137
轉檔日期：2022-09-16, 車次：166
轉檔日期：2022-09-17, 車次：147
轉檔日期：2022-09-18, 車次：166
轉檔日期：2022-09-19, 車次：134
轉檔日期：2022-09-20, 車次：133

